timestamp,action,price,quantity
2025-03-19 11:11:00-04:00,BUY,233.2,42.0
2025-03-19 11:12:00-04:00,SELL,233.15,42.0
2025-03-19 11:25:00-04:00,BUY,234.685,42.0
2025-03-19 11:26:00-04:00,SELL,235.2,42.0
2025-03-19 12:11:00-04:00,BUY,235.285,42.0
2025-03-19 12:12:00-04:00,SELL,234.92,42.0
2025-03-19 12:30:00-04:00,BUY,234.81,42.0
2025-03-19 12:31:00-04:00,SELL,234.87,42.0
2025-03-19 13:39:00-04:00,BUY,234.82,42.0
2025-03-19 13:40:00-04:00,SELL,234.6543,42.0
2025-03-19 14:00:00-04:00,BUY,234.845,42.0
2025-03-19 14:01:00-04:00,SELL,234.14,42.0
2025-03-19 14:16:00-04:00,BUY,234.9648,42.0
2025-03-19 14:17:00-04:00,SELL,234.605,42.0
2025-03-19 14:31:00-04:00,BUY,234.67,42.0
2025-03-19 14:32:00-04:00,SELL,235.2921,42.0
2025-03-19 14:53:00-04:00,BUY,236.13,41.0
2025-03-19 14:54:00-04:00,SELL,235.8711,41.0
2025-03-19 14:56:00-04:00,BUY,236.67,41.0
2025-03-19 14:57:00-04:00,SELL,237.365,41.0
2025-03-19 15:00:00-04:00,BUY,238.49,41.0
2025-03-19 15:01:00-04:00,SELL,238.4,41.0
2025-03-19 15:07:00-04:00,BUY,240.46,41.0
2025-03-19 15:08:00-04:00,SELL,241.2256,41.0
2025-03-19 15:38:00-04:00,BUY,237.16,41.0
2025-03-19 15:39:00-04:00,SELL,237.185,41.0
2025-03-19 15:44:00-04:00,BUY,238.0422,41.0
2025-03-19 15:45:00-04:00,SELL,237.44,41.0
2025-03-19 15:58:00-04:00,BUY,235.84,42.0
2025-03-19 15:59:00-04:00,SELL,235.73,42.0
2025-03-19 04:00:00-04:00,BUY,213.1,46.0
2025-03-19 04:01:00-04:00,SELL,213.14,46.0
2025-03-19 06:02:00-04:00,BUY,213.33,46.0
2025-03-19 06:04:00-04:00,SELL,213.38,46.0
2025-03-19 07:02:00-04:00,BUY,213.27,46.0
2025-03-19 07:04:00-04:00,SELL,213.25,46.0
2025-03-19 07:47:00-04:00,BUY,213.24,46.0
2025-03-19 07:50:00-04:00,SELL,213.2,46.0
2025-03-19 07:54:00-04:00,BUY,213.2,46.0
2025-03-19 07:56:00-04:00,SELL,213.07,46.0
2025-03-19 08:03:00-04:00,BUY,213.3885,46.0
2025-03-19 08:04:00-04:00,SELL,213.33,46.0
2025-03-19 08:41:00-04:00,BUY,213.3244,46.0
2025-03-19 08:43:00-04:00,SELL,213.2338,46.0
2025-03-19 08:47:00-04:00,BUY,213.39,46.0
2025-03-19 08:48:00-04:00,SELL,213.3602,46.0
2025-03-19 09:27:00-04:00,BUY,213.61,46.0
2025-03-19 09:28:00-04:00,SELL,214.19,46.0
2025-03-19 09:30:00-04:00,BUY,214.6899,46.0
2025-03-19 09:30:00-04:00,SELL,214.6899,46.0
2025-03-19 09:31:00-04:00,BUY,214.6,46.0
2025-03-19 09:32:00-04:00,SELL,214.97,46.0
2025-03-19 09:33:00-04:00,BUY,215.145,46.0
2025-03-19 09:34:00-04:00,SELL,215.01,46.0
2025-03-19 09:46:00-04:00,BUY,215.525,46.0
2025-03-19 09:47:00-04:00,SELL,215.66,46.0
2025-03-19 09:54:00-04:00,BUY,217.12,45.0
2025-03-19 09:55:00-04:00,SELL,217.23,45.0
2025-03-19 10:07:00-04:00,BUY,218.449,45.0
2025-03-19 10:08:00-04:00,SELL,218.345,45.0
2025-03-19 10:59:00-04:00,BUY,215.55,46.0
2025-03-19 11:00:00-04:00,SELL,215.57,46.0
2025-03-19 11:01:00-04:00,BUY,215.5917,46.0
2025-03-19 11:02:00-04:00,SELL,215.68,46.0
2025-03-19 11:05:00-04:00,BUY,215.78,46.0
2025-03-19 11:06:00-04:00,SELL,215.7529,46.0
2025-03-19 11:11:00-04:00,BUY,215.6098,46.0
2025-03-19 11:12:00-04:00,SELL,215.33,46.0
2025-03-19 11:25:00-04:00,BUY,215.665,46.0
2025-03-19 11:26:00-04:00,SELL,215.62,46.0
2025-03-19 12:11:00-04:00,BUY,215.39,46.0
2025-03-19 12:12:00-04:00,SELL,215.3099,46.0
2025-03-19 12:30:00-04:00,BUY,215.14,46.0
2025-03-19 12:31:00-04:00,SELL,215.0302,46.0
2025-03-19 13:39:00-04:00,BUY,214.53,46.0
2025-03-19 13:40:00-04:00,SELL,214.5385,46.0
2025-03-19 14:00:00-04:00,BUY,214.63,46.0
2025-03-19 14:01:00-04:00,SELL,214.225,46.0
2025-03-19 14:16:00-04:00,BUY,214.945,46.0
2025-03-19 14:17:00-04:00,SELL,214.82,46.0
2025-03-19 14:31:00-04:00,BUY,214.74,46.0
2025-03-19 14:32:00-04:00,SELL,214.96,46.0
2025-03-19 14:53:00-04:00,BUY,215.29,46.0
2025-03-19 14:54:00-04:00,SELL,215.179,46.0
2025-03-19 14:56:00-04:00,BUY,215.315,45.0
2025-03-19 14:57:00-04:00,SELL,215.44,45.0
2025-03-19 15:00:00-04:00,BUY,215.8698,45.0
2025-03-19 15:01:00-04:00,SELL,215.779,45.0
2025-03-19 15:07:00-04:00,BUY,216.76,45.0
2025-03-19 15:08:00-04:00,SELL,216.75,45.0
2025-03-19 15:38:00-04:00,BUY,215.32,46.0
2025-03-19 15:39:00-04:00,SELL,215.3303,46.0
2025-03-19 15:44:00-04:00,BUY,215.57,45.0
2025-03-19 15:45:00-04:00,SELL,215.49,45.0
2025-03-19 15:58:00-04:00,BUY,215.14,46.0
2025-03-19 15:59:00-04:00,SELL,215.3,46.0
2025-03-19 04:00:00-04:00,BUY,384.73,25.0
2025-03-19 04:06:00-04:00,SELL,383.27,25.0
2025-03-19 04:32:00-04:00,BUY,383.6,25.0
2025-03-19 04:42:00-04:00,SELL,383.64,25.0
2025-03-19 06:02:00-04:00,BUY,384.47,25.0
2025-03-19 06:07:00-04:00,SELL,384.26,25.0
2025-03-19 07:56:00-04:00,BUY,384.6,25.0
2025-03-19 07:57:00-04:00,SELL,384.56,25.0
2025-03-19 08:03:00-04:00,BUY,384.61,25.0
2025-03-19 08:06:00-04:00,SELL,384.77,25.0
2025-03-19 09:27:00-04:00,BUY,385.61,25.0
2025-03-19 09:28:00-04:00,SELL,385.8,25.0
2025-03-19 09:30:00-04:00,BUY,384.69,25.0
2025-03-19 09:30:00-04:00,SELL,384.69,25.0
2025-03-19 09:31:00-04:00,BUY,385.2,25.0
2025-03-19 09:32:00-04:00,SELL,385.455,25.0
2025-03-19 09:33:00-04:00,BUY,385.27,25.0
2025-03-19 09:34:00-04:00,SELL,385.065,25.0
2025-03-19 09:46:00-04:00,BUY,385.8901,25.0
2025-03-19 09:47:00-04:00,SELL,386.07,25.0
2025-03-19 09:54:00-04:00,BUY,386.55,25.0
2025-03-19 09:55:00-04:00,SELL,386.785,25.0
2025-03-19 10:07:00-04:00,BUY,387.63,25.0
2025-03-19 10:08:00-04:00,SELL,387.465,25.0
2025-03-19 10:59:00-04:00,BUY,385.5,25.0
2025-03-19 11:00:00-04:00,SELL,385.63,25.0
2025-03-19 11:01:00-04:00,BUY,385.6497,25.0
2025-03-19 11:02:00-04:00,SELL,385.59,25.0
2025-03-19 11:05:00-04:00,BUY,385.51,25.0
2025-03-19 11:06:00-04:00,SELL,385.845,25.0
2025-03-19 11:11:00-04:00,BUY,386.565,25.0
