symbol,time,open,high,low,close,volume,ema_9,ema_21,pct_change,avg_volume,volume_surge,ema_crossover,momentum_up,rsi,macd,macd_signal,macd_hist,vwap_numerator,vwap_denominator,vwap,signal_score,buy_signal,short_signal
TSLA,2025-04-02 09:00:00-04:00,263.3575,263.3575,253.0,257.0,1028004,261.55377937489703,261.8571504790685,-2.3741690408357052,68286.05,True,False,False,18.784517120493206,-0.12736099843510829,0.18557252751114187,-0.3129335259462501,1594829380613.421,6422562310,248.3166847801934,2,False,True
TSLA,2025-04-02 12:52:00-04:00,282.6883,282.6883,276.74,277.45,1611560,281.4082481151978,281.8102845838983,-1.8466763363639727,413501.2,True,False,False,27.484397503601414,-0.21015071410135988,0.09612324758783247,-0.30627396168919235,1627908697834.9602,6545442854,248.70871752247066,2,False,True
TSLA,2025-04-03 08:01:00-04:00,267.67,269.65,264.28,264.6,481284,265.8932005201273,265.9903678439506,-1.1580127007844498,62525.5,True,False,False,39.637305699482496,-0.09002685821627665,-0.05148474762631364,-0.03854211058996301,1798058622853.516,7138347896,251.8872222326212,2,False,True
AAPL,2025-04-03 09:31:00-04:00,206.95,207.49,205.01,205.1,1318491,205.88124849612407,205.92175257861956,-0.9011185466141658,461035.25,True,False,False,42.22040909263481,-0.10698022334824486,-0.18772901679054835,0.08074879344230348,1836082068463.6172,7283084220,252.102270549278,2,False,True
AMZN,2025-04-03 09:25:00-04:00,181.99,181.99,181.04,181.42,78902,181.84586325090706,181.88664731029948,-0.3186813186813242,21472.5,True,False,False,40.05370996618326,-0.06045878903418611,-0.06184527332687681,0.0013864842926906984,1920427735279.135,7781858982,246.78264405988628,2,False,True
TSLA,2025-04-04 06:05:00-04:00,264.6,264.81,263.67,263.67,12755,264.44665840108917,264.44989900291546,-0.43049733771383103,4681.9,True,False,False,36.07594936708969,-0.03425337060622269,-0.0490181736108262,0.014764803004603512,2093977593329.9185,8232670230,254.3497473880863,3,True,True
AAPL,2025-04-04 15:47:00-04:00,190.39,190.4,189.77,189.81,705173,190.64520897146787,190.65584236121865,-0.30987394957983083,337915.3,True,False,False,31.125286228329813,0.11272093331459132,0.2792347809378441,-0.16651384762325278,2157840071556.9277,8515403668,253.40431947646428,2,False,True
MSFT,2025-04-04 11:25:00-04:00,369.93,369.93,367.2,367.93,218895,369.5628202068694,369.7620430198441,-0.5567718046433745,97411.15,True,False,False,34.96376811594216,-0.01949343927111613,0.27613642529246435,-0.2956298645635805,2169251644866.906,8557397660,253.49431346479065,2,False,True
NVDA,2025-04-04 06:06:00-04:00,101.8,101.9,101.25,101.45,76889,101.87726745716846,101.92923790859035,-0.3340210236762009,12842.05,True,False,False,30.645161290325518,-0.048536866862747274,-0.01880470224966272,-0.029732164613084554,2179536222561.5356,8586935560,253.82002780064366,2,False,True
META,2025-04-04 06:10:00-04:00,522.04,522.21,521.31,521.31,2611,523.626488522621,523.9237029138385,-0.34219078570064676,1242.9,True,False,False,31.499312242090895,1.042887134376997,2.092391341197469,-1.049504206820472,2229977820109.4507,9115577690,244.63373534249925,2,False,True
META,2025-04-04 09:25:00-04:00,509.2,509.2,506.11,506.2,16045,509.24130120498717,509.61645327854126,-0.6769351515746092,5676.05,True,False,False,27.28689229524001,-0.04670130663424743,0.4400490152634509,-0.48675032189769835,2230795190026.4834,9117188620,244.68016216456027,2,False,True
QQQ,2025-04-07 08:45:00-04:00,412.38,412.58,410.39,410.65,105556,412.55343840390464,412.673223714113,-0.4484848484848536,45604.05,True,False,False,23.89570940387408,0.1038683186010303,0.45245623343638397,-0.3485879148353537,2283683762764.508,9348694251,244.27836673771094,2,False,True
TSLA,2025-04-07 08:03:00-04:00,223.88,224.23,215.09,216.2,471953,223.08060942181137,223.8696837885806,-3.4088370638431065,167292.75,True,False,False,26.62538699690421,-0.6823517794775853,-0.3047801475186943,-0.377571631958891,2469865987129.643,9750315665,253.3113872400605,2,False,True
AAPL,2025-04-07 13:02:00-04:00,179.119,179.1698,177.74,177.76,430508,178.12467839520372,178.144400131013,-0.7149240393208189,199277.15,True,False,False,47.58260297082711,-0.037382722030173454,-0.07376468278905322,0.03638196075887977,2528497615596.8516,10028803688,252.12355274461441,2,False,True
NVDA,2025-04-07 11:14:00-04:00,97.23,97.51,94.24,94.7001,3200820,96.39473267665379,96.45847388551803,-2.6010731355119,1552992.35,True,False,False,32.16464524395445,0.12337380958474853,0.38303536611570455,-0.259661556530956,2587989734145.8228,10472413945,247.1244688891853,2,False,True
META,2025-04-07 08:01:00-04:00,490.0298,490.0298,471.5,471.5,16779,484.9732295016011,486.6883214078442,-4.3280450313586964,6276.6,True,False,False,25.47547845112055,-1.5816364300488885,-1.002408557627198,-0.5792278724216906,2615611958893.37,10754594398,243.20879636146833,2,False,True
GOOGL,2025-04-07 08:01:00-04:00,142.4,142.6,137.01,142.02,186919,142.12002910653936,142.1310277720963,-0.371799368642578,16878.15,True,False,False,48.71794871794991,-0.040198306339391365,-0.07236178074886991,0.032163474409478546,2653445167229.363,10903911746,243.34800473809364,2,False,True
SPY,2025-04-08 08:00:00-04:00,518.0,518.66,509.04,509.04,233871,515.6251492077881,515.8221220838391,-1.771448419590138,34266.25,True,False,False,22.713414634147185,0.1464950819193973,0.6608669176727026,-0.5143718357533053,2706533829820.0903,11076673023,244.34537556540187,2,False,True
TSLA,2025-04-08 05:54:00-04:00,237.56,237.56,237.0,237.0,17624,237.65873526268572,237.7285737805159,-0.3196500672947522,4243.15,True,False,False,37.50000000000127,-0.07913682897796548,-0.03969836925386078,-0.0394384597241047,2784885997652.4995,11231344950,247.9565902436733,2,False,True
TSLA,2025-04-08 08:00:00-04:00,237.16,241.1987,234.6,234.6,394799,239.4804358438525,239.8006705129947,-2.594976126219639,35833.45,True,False,False,17.105263157895124,-0.04576922155843022,0.39525060794711103,-0.44101982950554125,2785286253070.939,11233029995,247.9550267657715,2,False,True
NVDA,2025-04-08 11:50:00-04:00,102.505,102.58,101.97,102.0299,1903885,102.82675899154839,102.8764420028329,-0.45931393639262463,950293.55,True,False,False,42.85714285714389,-0.025774843478714615,0.04314835809742831,-0.06892320157614293,2881283647517.959,11775661249,244.68126134000673,1,False,True
QQQ,2025-04-09 07:00:00-04:00,416.39,416.82,409.97,410.39,140806,416.47551969265123,416.76632193246564,-1.4527903179329615,30708.95,True,False,False,29.93585174625828,0.030304588203307503,0.5871830808183922,-0.5568784926150847,2944551390379.9023,12194329715,241.46890064468806,2,False,True
SPY,2025-04-09 07:00:00-04:00,494.72,494.99,487.5,489.19,424826,495.03746315206405,495.21864805744974,-1.1138063472811766,41906.2,True,False,False,31.024531024531356,0.13527902322516638,0.6719372667582248,-0.5366582435330585,3005258083452.908,12331175416,243.71221575142891,2,False,True
SPY,2025-04-09 13:18:00-04:00,503.09,503.3,497.56,499.93,2350694,502.0353436258332,502.0919592851016,-0.6221921838349243,439117.95,True,False,False,23.529906070848796,0.1264703956918538,0.36165674475345955,-0.23518634906160574,3041765028892.407,12404523958,245.21416857199858,2,False,True
TSLA,2025-04-09 07:00:00-04:00,227.31,227.75,222.0,225.47,220465,227.84267827840398,227.90480310689088,-0.7963745160154856,22705.9,True,False,False,35.04531722054439,0.11948833550928839,0.4147134455761704,-0.295225110066882,3119826811186.9985,12552327112,248.54569063966235,2,False,True
TSLA,2025-04-09 08:01:00-04:00,220.87,232.22,217.21,218.67,256785,219.82395144263782,219.9585849321022,-0.9153110698264633,76827.5,True,False,False,51.0638297872344,-0.23548418875148514,-0.2964198361981057,0.060935647446620556,3120461147776.938,12555201767,248.53930710844767,2,False,True
AAPL,2025-04-09 07:00:00-04:00,176.07,176.37,171.0,171.15,172472,175.50246965354387,175.83461983474982,-2.7667310532894063,14242.35,True,False,False,17.548387096774675,-0.08657476061355851,0.3319634879150972,-0.41853824852865573,3172245818797.724,12763444785,248.54150836503376,2,False,True
